district,state,year,month,rain_total,rain_avg,temp_avg,soil,urban,well_depth,aquifer_type,gw_delta,gw_delta_lag1,gw_delta_lag2,rain_total_lag1,rain_total_lag2,temp_avg_lag1
Alirajpur,madhya pradesh,2025.0,2.0,0.0,0.0,24.505357142857143,2,0,60.97,1,-0.3732183908045972,-0.4067436900106651,-0.5215354877081682,0.0,3.75,19.90838709677419
Alirajpur,madhya pradesh,2025.0,3.0,0.0,0.0,28.64161290322581,2,0,60.97,1,-0.4702011494252867,-0.3732183908045972,-0.4067436900106651,0.0,0.0,24.505357142857143
Alirajpur,madhya pradesh,2025.0,4.0,0.02,0.0006666666666666,32.593666666666664,2,0,60.97,1,-0.601866666666667,-0.4702011494252867,-0.3732183908045972,0.0,0.0,28.64161290322581
Alirajpur,madhya pradesh,2025.0,5.0,113.5,3.661290322580645,30.58258064516129,2,0,60.97,1,-0.5834363636363644,-0.601866666666667,-0.4702011494252867,0.02,0.0,32.593666666666664
Alirajpur,madhya pradesh,2025.0,6.0,210.75,7.025,29.411,2,0,60.97,1,-0.1010636363636363,-0.5834363636363644,-0.601866666666667,113.5,0.02,30.58258064516129
Alirajpur,madhya pradesh,2025.0,7.0,234.71,7.571290322580645,26.45258064516129,2,0,60.97,1,1.201474193548388,-0.1010636363636363,-0.5834363636363644,210.75,113.5,29.411
Alirajpur,madhya pradesh,2025.0,8.0,240.35,7.753225806451613,26.2183870967742,2,0,60.97,1,1.0738924731182786,1.201474193548388,-0.1010636363636363,234.71,210.75,26.45258064516129
Alirajpur,madhya pradesh,2025.0,9.0,252.45,8.415000000000001,25.308,2,0,60.97,1,1.107060606060606,1.0738924731182786,1.201474193548388,240.35,234.71,26.2183870967742
Alirajpur,madhya pradesh,2025.0,10.0,117.23,3.781612903225807,24.181290322580644,2,0,60.97,1,-0.4972643097643097,1.107060606060606,1.0738924731182786,252.45,240.35,25.308
Alirajpur,madhya pradesh,2025.0,11.0,6.67,0.2223333333333333,19.87633333333333,2,0,60.97,1,-0.2924474990454371,-0.4972643097643097,1.107060606060606,117.23,252.45,24.181290322580644
Alirajpur,madhya pradesh,2025.0,12.0,0.0,0.0,18.30483870967742,2,0,60.97,1,-0.5661252200150866,-0.2924474990454371,-0.4972643097643097,6.67,117.23,19.87633333333333
Alwar,rajasthan,2024.0,6.0,61.47,2.049,36.213,1,0,200.0,1,-0.0268292682926869,-1.0811707317073171,-1.456399999999995,5.12,5.06,29.685
Alwar,rajasthan,2024.0,7.0,261.64,8.44,30.358387096774194,1,0,200.0,1,-0.0086999999999974,-0.0268292682926869,-1.0811707317073171,61.47,5.12,36.213
